Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,087113,2023,06,26,8.5
IDCJAC0016,087113,2023,06,27,8.3
IDCJAC0016,087113,2023,06,28,5.2
IDCJAC0016,087113,2023,06,29,7.0
IDCJAC0016,087113,2023,06,30,6.8
IDCJAC0016,087113,2023,07,01,8.0
IDCJAC0016,087113,2023,07,02,6.1
IDCJAC0016,087113,2023,07,03,6.6
IDCJAC0016,087113,2023,07,04,4.9
IDCJAC0016,087113,2023,07,05,7.1
IDCJAC0016,087113,2023,07,06,9.1
IDCJAC0016,087113,2023,07,07,8.7
IDCJAC0016,087113,2023,07,08,9.5
IDCJAC0016,087113,2023,07,09,7.2
IDCJAC0016,087113,2023,07,10,7.9
IDCJAC0016,087113,2023,07,11,9.0
IDCJAC0016,087113,2023,07,12,9.5
IDCJAC0016,087113,2023,07,13,8.9
IDCJAC0016,087113,2023,07,14,7.6
IDCJAC0016,087113,2023,07,15,4.3
IDCJAC0016,087113,2023,07,16,7.1
IDCJAC0016,087113,2023,07,17,10.1
IDCJAC0016,087113,2023,07,18,8.8
IDCJAC0016,087113,2023,07,19,8.7
IDCJAC0016,087113,2023,07,20,4.3
IDCJAC0016,087113,2023,07,21,10.4
IDCJAC0016,087113,2023,07,22,7.4
IDCJAC0016,087113,2023,07,23,8.7
IDCJAC0016,087113,2023,07,24,7.0
IDCJAC0016,087113,2023,07,25,6.7
IDCJAC0016,087113,2023,07,26,9.2
IDCJAC0016,087113,2023,07,27,10.9
IDCJAC0016,087113,2023,07,28,9.9
IDCJAC0016,087113,2023,07,29,11.0
IDCJAC0016,087113,2023,07,30,9.9
IDCJAC0016,087113,2023,07,31,9.1
IDCJAC0016,087113,2023,08,01,8.3
IDCJAC0016,087113,2023,08,02,10.8
IDCJAC0016,087113,2023,08,03,11.6
IDCJAC0016,087113,2023,08,04,5.7
IDCJAC0016,087113,2023,08,05,8.6
IDCJAC0016,087113,2023,08,06,8.5
IDCJAC0016,087113,2023,08,07,9.5
IDCJAC0016,087113,2023,08,08,12.2
IDCJAC0016,087113,2023,08,09,12.2
IDCJAC0016,087113,2023,08,10,9.3
IDCJAC0016,087113,2023,08,11,9.2
IDCJAC0016,087113,2023,08,12,8.3
IDCJAC0016,087113,2023,08,13,11.5
IDCJAC0016,087113,2023,08,14,12.9
IDCJAC0016,087113,2023,08,15,13.1
IDCJAC0016,087113,2023,08,16,13.4
IDCJAC0016,087113,2023,08,17,8.3
IDCJAC0016,087113,2023,08,18,10.4
IDCJAC0016,087113,2023,08,19,10.2
IDCJAC0016,087113,2023,08,20,11.5
IDCJAC0016,087113,2023,08,21,10.0
IDCJAC0016,087113,2023,08,22,7.2
IDCJAC0016,087113,2023,08,23,11.0
IDCJAC0016,087113,2023,08,24,14.0
IDCJAC0016,087113,2023,08,25,14.4
IDCJAC0016,087113,2023,08,26,10.9
IDCJAC0016,087113,2023,08,27,12.5
IDCJAC0016,087113,2023,08,28,10.5
IDCJAC0016,087113,2023,08,29,7.7
IDCJAC0016,087113,2023,08,30,10.0
IDCJAC0016,087113,2023,08,31,12.2
IDCJAC0016,087113,2023,09,01,10.9
IDCJAC0016,087113,2023,09,02,16.1
IDCJAC0016,087113,2023,09,03,16.2
IDCJAC0016,087113,2023,09,04,6.4
IDCJAC0016,087113,2023,09,05,14.3
IDCJAC0016,087113,2023,09,06,15.7
IDCJAC0016,087113,2023,09,07,11.5
IDCJAC0016,087113,2023,09,08,9.2
IDCJAC0016,087113,2023,09,09,14.5
IDCJAC0016,087113,2023,09,10,9.3
IDCJAC0016,087113,2023,09,11,16.1
IDCJAC0016,087113,2023,09,12,16.0
IDCJAC0016,087113,2023,09,13,17.3
IDCJAC0016,087113,2023,09,14,16.9
IDCJAC0016,087113,2023,09,15,18.2
IDCJAC0016,087113,2023,09,16,18.6
IDCJAC0016,087113,2023,09,17,17.6
IDCJAC0016,087113,2023,09,18,10.1
IDCJAC0016,087113,2023,09,19,18.6
IDCJAC0016,087113,2023,09,20,10.8
IDCJAC0016,087113,2023,09,21,14.0
IDCJAC0016,087113,2023,09,22,13.7
IDCJAC0016,087113,2023,09,23,19.8
IDCJAC0016,087113,2023,09,24,20.1
IDCJAC0016,087113,2023,09,25,18.2
IDCJAC0016,087113,2023,09,26,19.7
IDCJAC0016,087113,2023,09,27,18.4
IDCJAC0016,087113,2023,09,28,20.3
IDCJAC0016,087113,2023,09,29,21.0
IDCJAC0016,087113,2023,09,30,21.2
IDCJAC0016,087113,2023,10,01,17.3
IDCJAC0016,087113,2023,10,02,21.6
